Name,BSE Code,NSE Code,Industry Group,Industry,Current Price,Price to Earning,Dividend yield,Net Profit latest quarter,YOY Quarterly profit growth,YOY Quarterly sales growth,Debt to equity,Profit after tax,Profit after tax latest quarter,Change in promoter holding,Promoter holding,EVEBITDA,PEG Ratio,Return on equity,Return on equity preceding year,OPM last year
Mayur Uniquoters,522249,MAYURUNIQ,Consumer Durables,Leather And Leather Products,499.95,14.12,1.00,48.10,16.10,9.89,0.01,154.19,48.10,0.00,58.59,8.81,0.74,15.39,14.59,22.04
MSTC,542597,MSTCLTD,Commercial Services & Supplies,Trading & Distributors,467.75,14.89,8.66,47.50,10.77,18.20,0.17,220.97,47.50,0.00,64.75,8.38,-36.32,28.37,23.03,57.14
Multi Comm. Exc.,534091,MCX,Capital Markets,Exchange and Data Platform,10343.00,75.80,0.29,197.47,28.54,31.04,0.00,696.16,197.47,0.00,0.00,53.84,1.47,34.33,5.82,59.79
Natl. Aluminium,532234,NATIONALUM,Non - Ferrous Metals,Aluminium,273.15,8.21,3.84,1429.94,36.71,7.27,0.00,6112.97,1429.94,0.00,51.28,4.76,0.39,32.72,12.22,44.72
NBCC,534309,NBCC,Construction,Civil Construction,112.06,45.31,0.60,156.69,25.71,18.99,0.00,667.83,153.52,0.00,61.75,27.07,1.53,25.54,24.85,5.23
P & G Health Ltd,500126,PGHL,Pharmaceuticals & Biotechnology,Pharmaceuticals,5713.00,30.95,2.19,88.54,7.54,3.67,0.01,306.80,88.54,0.00,51.82,21.38,3.15,36.42,33.49,34.10
Page Industries,532827,PAGEIND,Textiles & Apparels,Garments & Apparels,37455.00,54.61,2.40,194.76,-0.26,3.58,0.19,764.23,194.76,0.00,42.89,35.15,5.08,48.54,38.35,21.53
Persistent Systems,533179,PERSISTENT,IT - Software,Computers - Software & Consulting,6520.50,61.80,0.54,471.47,45.07,23.59,0.06,1665.16,471.47,0.00,30.56,39.51,2.29,24.08,23.99,17.24
Pfizer,500680,PFIZER,Pharmaceuticals & Biotechnology,Pharmaceuticals,5000.00,32.36,0.70,189.02,19.37,9.13,0.01,706.70,189.02,0.00,63.92,20.01,20.48,16.40,16.10,32.52
Prudent Corp.,543527,PRUDENT,Capital Markets,Financial Products Distributor,2562.40,51.63,0.10,53.54,3.92,11.78,0.04,205.25,53.54,0.00,55.31,34.02,1.50,34.04,33.40,25.78
